legth, threads, time
100,1,0.2958500385284424
100,2,0.27585887908935547
100,4,0.2777857780456543
100,8,0.2828710079193115
200,1,2.1982059955596924
200,2,2.19071888923645
200,4,2.187047004699707
200,8,2.2112908363342285
300,1,7.9422948360443115
300,2,7.979069948196411
300,4,7.806477785110474
300,8,7.90268611907959
400,1,19.559949159622192
400,2,18.646996021270752
400,4,18.582756280899048
400,8,19.96563410758972
500,1,37.24070072174072
500,2,37.02647089958191
500,4,37.25038719177246
500,8,37.92554807662964
600,1,68.0816810131073
600,2,68.36102509498596
600,4,66.08837723731995
600,8,67.42717003822327
700,1,110.39987993240356
700,2,108.95693707466125
700,4,110.58625221252441
700,8,109.90195512771606
800,1,170.4083390235901
800,2,170.238214969635
800,4,166.8813271522522
800,8,162.55739212036133
